	adult	director	genre_ids	lead actors	movie_id	overview	popularity	poster_path	release_date	title	video	vote_average	vote_count
157	False	Kenneth Lonergan	[18]	[Casey Affleck, Michelle Williams, Kyle Chandler]	334541	After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.	6.928333	/i0t7F6b4R1wURRESAiw9VJNuVoV.jpg	2016-11-18	Manchester by the Sea	False	7.5	912
158	False	Jon M. Chu	[28, 12, 35, 80, 9648, 53]	[Jesse Eisenberg, Woody Harrelson, Mark Ruffalo]	291805	One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.	6.910754	/hU0E130tsGdsYa4K9lc3Xrn5Wyt.jpg	2016-06-02	Now You See Me 2	False	6.6	2138
159	False	Roland Emmerich	[28, 12, 878]	[Liam Hemsworth, Jeff Goldblum, Bill Pullman]	47933	We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.	6.885867	/5CHJs479xWnm3zMDOl94VkKS7MZ.jpg	2016-06-22	Independence Day: Resurgence	False	4.9	1932
160	False	Chris Columbus	[12, 14, 10751]	[Daniel Radcliffe, Rupert Grint, Emma Watson]	672	Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.	6.806017	/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg	2002-11-13	Harry Potter and the Chamber of Secrets	False	7.2	4254
161	False	Gary Trousdale	[10749, 10751, 16, 14, 10402]	[Paige O'Hara, Robby Benson, Richard White]	10020	Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.	6.799334	/b9QJr2oblOu1grgOMUZF1xkUJdh.jpg	1991-11-12	Beauty and the Beast	False	7.4	2143
162	False	Pete Docter	[16, 35, 10751, 12]	[Ed Asner, Christopher Plummer, Jordan Nagai]	14160	Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.	6.790778	/nk11pvocdb5zbFhX5oq5YiLPYMo.jpg	2009-05-13	Up	False	7.7	5164
163	False	Alfonso Cuarón	[12, 14, 10751]	[Daniel Radcliffe, Rupert Grint, Emma Watson]	673	Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.	6.767319	/jUFjMoLh8T2CWzHUSjKCojI5SHu.jpg	2004-05-31	Harry Potter and the Prisoner of Azkaban	False	7.5	4404
164	False	Doug Liman	[28, 18, 9648, 53]	[Matt Damon, Franka Potente, Chris Cooper]	2501	Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?	6.711881	/bXQIL36VQdzJ69lcjQR1WQzJqQR.jpg	2002-06-14	The Bourne Identity	False	7.2	3043
165	False	Jennifer Yuh Nelson	[28, 12, 16, 35, 10751]	[Jack Black, Bryan Cranston, Dustin Hoffman]	140300	"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home."	6.693107	/MZFPacfKzgisnPoJIPEFZUXBBT.jpg	2016-01-23	Kung Fu Panda 3	False	6.6	1210
166	False	Rian Johnson	[28, 12, 14, 878]	[Daisy Ridley, Mark Hamill, John Boyega]	181808	Having taken her first steps into a larger world in Star Wars: The Force Awakens (2015), Rey continues her epic journey with Finn, Poe and Luke Skywalker in the next chapter of the saga.	6.68396	/rfjrAyAueCOwErk67vnkMB0Uxvj.jpg	2017-12-13	Star Wars: The Last Jedi	False	0.0	62
167	False	James Cameron	[27, 28, 53, 878]	[Sigourney Weaver, Carrie Henn, Michael Biehn]	679	When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.	6.668729	/nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg	1986-07-18	Aliens	False	7.7	2546
